JobID,FRICTION,BHF,THICKNESS,INITIAL_STRESS,SATURATION,GROWTH_RATE,POWER,MAX_STRESS,AVE_STRESS,VAR_STRESS,AVE_DIST
job105, 0.0, 0.45, 2.0, 100, 130, 7.98, 0.84, 117.527023315, 34.7006925897, 705.273466598, 7.94472249349
job106, 0.0, 0.56, 2.0, 100, 130, 7.98, 0.84, 118.544471741, 34.4843254922, 682.474641475, 7.89577992757
job107, 0.0, 0.67, 2.0, 100, 130, 7.98, 0.84, 121.443199158, 35.0659174103, 686.955548297, 7.85826513502
job108, 0.0, 0.78, 2.0, 100, 130, 7.98, 0.84, 122.586334229, 35.3866175791, 681.761159143, 7.82702848646
job109, 0.0, 0.89, 2.0, 100, 130, 7.98, 0.84, 124.019767761, 35.1220290443, 690.158455382, 7.80283186171
job110, 0.0, 1.0, 2.0, 100, 130, 7.98, 0.84, 124.331695557, 35.2007237571, 692.461329439, 7.77885437012
job111, 0.03333333333333333, 0.01, 2.0, 100, 130, 7.98, 0.84, 126.221115112, 32.0239683335, 724.297549278, 8.32658174303
job112, 0.03333333333333333, 0.12, 2.0, 100, 130, 7.98, 0.84, 115.897644043, 32.194225703, 609.675226795, 8.15247684055
job113, 0.03333333333333333, 0.23, 2.0, 100, 130, 7.98, 0.84, 122.842514038, 32.3237306327, 625.954314017, 8.02764362759
job114, 0.03333333333333333, 0.34, 2.0, 100, 130, 7.98, 0.84, 124.921691895, 32.0916956088, 610.336061893, 7.93339263068
job115, 0.03333333333333333, 0.45, 2.0, 100, 130, 7.98, 0.84, 124.943893433, 32.0698357917, 627.283378124, 7.86485099792
job116, 0.03333333333333333, 0.56, 2.0, 100, 130, 7.98, 0.84, 126.97429657, 31.9028524165, 626.125680551, 7.80492337545
job117, 0.03333333333333333, 0.67, 2.0, 100, 130, 7.98, 0.84, 126.675178528, 32.1140366895, 622.834433295, 7.75836435954
job118, 0.03333333333333333, 0.78, 2.0, 100, 130, 7.98, 0.84, 126.418228149, 32.3693871638, 622.303294372, 7.71745999654
job119, 0.03333333333333333, 0.89, 2.0, 100, 130, 7.98, 0.84, 126.456016541, 31.7041984212, 613.972105949, 7.68248346117
job120, 0.03333333333333333, 1.0, 2.0, 100, 130, 7.98, 0.84, 126.442131042, 31.6439282961, 615.924960931, 7.64957915412
job121, 0.06666666666666667, 0.01, 2.0, 100, 130, 7.98, 0.84, 129.589141846, 31.431377264, 680.411760394, 8.28201675415
job122, 0.06666666666666667, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.486404419, 31.1512175845, 574.938961137, 8.09766663445
job123, 0.06666666666666667, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.228744507, 30.4565063846, 564.510435718, 7.96139102512
job124, 0.06666666666666667, 0.34, 2.0, 100, 130, 7.98, 0.84, 127.162986755, 30.3821887285, 565.977798169, 7.8544561598
job125, 0.06666666666666667, 0.45, 2.0, 100, 130, 7.98, 0.84, 127.072906494, 30.6677422512, 576.719033956, 7.77260059781
job126, 0.06666666666666667, 0.56, 2.0, 100, 130, 7.98, 0.84, 126.56829071, 30.3531351359, 581.646356731, 7.69979752435
job127, 0.06666666666666667, 0.67, 2.0, 100, 130, 7.98, 0.84, 126.530685425, 30.5577354898, 589.070373068, 7.642097897
job128, 0.06666666666666667, 0.78, 2.0, 100, 130, 7.98, 0.84, 126.530540466, 31.0692260968, 605.086431385, 7.59229384528
job129, 0.06666666666666667, 0.89, 2.0, 100, 130, 7.98, 0.84, 127.648468018, 30.6828122899, 603.091250644, 7.54415618049
job130, 0.06666666666666667, 1.0, 2.0, 100, 130, 7.98, 0.84, 127.888710022, 30.3725126553, 618.584066587, 7.50053511726
job131, 0.1, 0.01, 2.0, 100, 130, 7.98, 0.84, 129.444458008, 30.9872034328, 636.825641565, 8.23685306973
job132, 0.1, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.397453308, 30.120274054, 522.152980099, 8.0355735355
job133, 0.1, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.052192688, 29.8645388441, 539.871980714, 7.88166787889
job134, 0.1, 0.34, 2.0, 100, 130, 7.98, 0.84, 126.817276001, 29.9441153997, 567.06489549, 7.76415655348
job135, 0.1, 0.45, 2.0, 100, 130, 7.98, 0.84, 127.756774902, 29.712289781, 585.425544806, 7.67348056369
job136, 0.1, 0.56, 2.0, 100, 130, 7.98, 0.84, 127.93321991, 29.5015819573, 588.777705416, 7.58826531304
job137, 0.1, 0.67, 2.0, 100, 130, 7.98, 0.84, 128.153106689, 29.7138446795, 596.772576312, 7.51756901211
job138, 0.1, 0.78, 2.0, 100, 130, 7.98, 0.84, 127.847412109, 30.1070803303, 617.123239623, 7.45525232951
job139, 0.1, 0.89, 2.0, 100, 130, 7.98, 0.84, 127.399963379, 30.5354069769, 626.891135556, 7.39727719625
job140, 0.1, 1.0, 2.0, 100, 130, 7.98, 0.84, 127.377822876, 29.7151889038, 628.176257376, 7.34309938219
job141, 0.13333333333333333, 0.01, 2.0, 100, 130, 7.98, 0.84, 129.483322144, 30.7289607961, 595.147821695, 8.18117056953
job142, 0.13333333333333333, 0.12, 2.0, 100, 130, 7.98, 0.84, 127.300956726, 29.6178916953, 525.687433571, 7.96284315321
job143, 0.13333333333333333, 0.23, 2.0, 100, 130, 7.98, 0.84, 127.950187683, 29.4009877813, 551.468109376, 7.80266168382
job144, 0.13333333333333333, 0.34, 2.0, 100, 130, 7.98, 0.84, 127.667121887, 29.518128859, 550.639240308, 7.67667367723
job145, 0.13333333333333333, 0.45, 2.0, 100, 130, 7.98, 0.84, 127.938919067, 29.1297887451, 575.11424522, 7.57191636827
job146, 0.13333333333333333, 0.56, 2.0, 100, 130, 7.98, 0.84, 127.429763794, 29.6294793373, 602.376320658, 7.4735821618
job147, 0.13333333333333333, 0.67, 2.0, 100, 130, 7.98, 0.84, 127.287475586, 29.760955835, 606.430741701, 7.39056926303
job148, 0.13333333333333333, 0.78, 2.0, 100, 130, 7.98, 0.84, 126.723968506, 29.8653095202, 617.411876609, 7.31756549411
job149, 0.13333333333333333, 0.89, 2.0, 100, 130, 7.98, 0.84, 126.122528076, 29.6106433666, 601.536120339, 7.24894523621
job150, 0.13333333333333333, 1.0, 2.0, 100, 130, 7.98, 0.84, 125.655479431, 29.1214904675, 606.829566886, 7.18211046855
job151, 0.16666666666666666, 0.01, 2.0, 100, 130, 7.98, 0.84, 129.521606445, 30.7201454949, 562.622490773, 8.12754270766
job152, 0.16666666666666666, 0.12, 2.0, 100, 130, 7.98, 0.84, 128.026535034, 29.4824724188, 519.169620625, 7.89236852858
